id,userType,month,year,caregiverid,cohort,site,email,password,uid
"249101","child","12","2014","tgsrxGMR","G4_TP1","DE-mpieva-pilot","dmbxyahbme@levante.com","qtj5uh5bsz","xBQsua6E7A1fothP9KNc"
"249175","child","1","2015","KRRKS58h","G4_TP1","DE-mpieva-pilot","tnn012gyxz@levante.com","cvxjpauada","NGioaPHHgPKYL4vh9Boc"
"249401","child","1","2015","geVvJHBm","G4_TP1","DE-mpieva-pilot","r9mx7jfl6p@levante.com","9dalvsm0uv","7ta6wq0MVy2vUIWbIDno"
"249642","child","1","2015","qvrtqFVD","G4_TP1","DE-mpieva-pilot","71hqprqjmt@levante.com","2zrr6kth2x","fGJcF8gIno7zc0cefR0e"
"249725","child","1","2015","LeGpdwqQ","G4_TP1","DE-mpieva-pilot","sgrasq7dsq@levante.com","br463m2xnr","L57aBV0l7K5wEDpd1yvp"
"251522","child","7","2015","5RpLCHYs","G4_TP1","DE-mpieva-pilot","k3rfkz5x29@levante.com","3qxf1wzq3a","NPZw5gje1eQDJOakjpW3"
"251557","child","4","2015","BXXmC4E2","G4_TP1","DE-mpieva-pilot","99q4fktfw3@levante.com","h0syej72rd","yu0pSUxrWoWam1OblIBE"
"252019","child","6","2015","SRsSMvF6","G4_TP1","DE-mpieva-pilot","ft66rmc57c@levante.com","qlrq86pfum","a2Wn4l6z447iScqzpANx"
"252338","child","8","2015","uKiybyBT","G4_TP1","DE-mpieva-pilot","hppx44q3c5@levante.com","2mlvvkc1bc","9bTt79bFCVDksIoyNETE"
"252391","child","1","2016","AWg1nSwm","G4_TP1","DE-mpieva-pilot","4a90iuea2y@levante.com","2wivbk43il","a8KveW0z8OfbPJDkxK0q"
"252666","child","1","2016","Q7MitJHk","G4_TP1","DE-mpieva-pilot","zo0iqg9su1@levante.com","twidu0cer0","ZEmnj0vBJWMHm6Ic34BF"
"252783","child","12","2015","SyBn7ahR","G4_TP1","DE-mpieva-pilot","hbnarl0od4@levante.com","9g7rap1mev","pH4EjF6ExGnCR8qXhXEo"
"253251","child","11","2015","Eowspi8c","G4_TP1","DE-mpieva-pilot","jomdgv9u7f@levante.com","3xv464zvlh","eU5Q9Ix7KiTxsHa1gKZt"
